"","S.No.","sofifa_id","short_name","long_name","Market_Value","Wages","age","pace","shooting","passing","dribbling","defending","physic","Mins_Total","Goals_total","Assists_Total","Shots_per_game_total","Yellow_Cards_Total","Red_Cards_Total","Aerial_Battles_Won_Per_Game_Total","Man_of_The_Match_Total","Player_international_reputation","weak_foot","Club_Int_Prestige","Club_Domestic_Prestige","Player_Continent","Club_Continent","preferred_foot","Position_Final","Clusters"
"1374",1562,209818,"J. Brenet","Joshua Brenet",7,30,25,87,36,62,72,71,69,1041,2,1,1.200000048,0,0,0.600000024,0,1,3,5,6,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"1375",1563,215699,"Y. Sabaly","Youssouf Sabaly",7,30,26,74,38,64,75,73,69,2271,0,2,1.299999952,3,0,1.600000024,0,2,4,3,6,"Africa","Europe Tier 1","Right","Defensive Midfield,Defense",2
"1376",1564,235875,"Pol Lirola","Pol Mikel Lirola Kosok",7,30,21,79,45,68,74,72,67,2976,2,6,0.5,2,0,0.5,0,1,3,3,5,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"1378",1569,204464,"J. Ralls","Joe Ralls",7,20,25,64,68,73,72,68,66,1960,0,0,0.800000012,4,1,1.200000048,0,1,2,1,8,"Europe","Europe Tier 3","Left","Defensive Midfield",2
"1379",1570,53302,"D. De Rossi","Daniele De Rossi",7,20,35,59,64,73,69,85,77,1583,2,2,0.800000012,4,0,1.799999952,0,3,4,9,10,"Europe","South America","Right","Defensive Midfield,Defense",2
"1380",1571,212911,"Hernâni","Hernâni Jorge Santos Fortes",7,20,27,92,68,68,80,29,56,210,1,1,1,1,0,0.800000012,0,2,2,1,3,"Europe","Europe Tier 1","Left","Attacking Midfield",2
"1381",1573,208137,"Lucas Torró","Lucas Torró Marset",7,20,24,60,61,65,65,74,73,745,1,0,1.299999952,1,0,6.700000286,0,1,3,5,6,"Europe","Europe Tier 1","Right","Defensive Midfield",2
"1383",1576,209846,"C. Günter","Christian Günter",7,20,26,82,48,67,69,71,79,2880,0,5,0.899999976,3,1,0.300000012,0,2,2,2,2,"Europe","Europe Tier 1","Left","Defensive Midfield,Defense",2
"1385",1579,210463,"D. Machís","Darwin Machís",7,20,26,88,74,68,79,38,67,457,0,1,1.200000048,2,0,0.300000012,0,1,4,1,7,"South America","Europe Tier 2","Right","Attacking Midfield",2
"1388",1582,225673,"K. Adams Nuhu","Kasim Adams Nuhu",7,20,24,66,43,55,59,72,81,1047,0,1,0.200000003,4,2,3.299999952,0,1,3,5,6,"Africa","Europe Tier 1","Right","Defense",2
"1389",1583,206167,"S. Prcic","Sanjin Prcic",7,20,25,63,64,75,73,68,71,534,0,0,0.800000012,3,0,1.600000024,0,1,4,1,4,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",2
"1390",1585,215644,"Burgui","Jorge Franco Alviz",7,20,25,71,67,71,76,41,57,548,1,0,0.5,1,0,0.400000006,0,1,3,1,3,"Europe","Europe Tier 1","Right","Attacking Midfield",2
"1392",1588,201013,"L. Teodorczyk","Lukasz Teodorczyk",7,20,28,63,74,60,66,33,77,391,1,0,0.800000012,1,0,1.299999952,0,2,2,3,4,"Europe","Europe Tier 1","Right","Forward",2
"1393",1589,232693,"C. Awaziem","Chidozie Collins Awaziem",7,20,22,67,39,45,60,73,75,1359,0,0,0.600000024,3,0,3.400000095,1,1,3,7,10,"Africa","Europe Tier 3","Right","Defense",2
"1396",1592,226853,"J. St. Juste","Jeremiah St. Juste",7,20,22,82,58,64,73,73,75,1720,3,2,1,1,1,1.5,1,1,3,3,4,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"1397",1593,244622,"Puado","Javier Puado Díaz",7,20,21,80,69,59,75,29,60,349,0,0,0.5,0,0,0.600000024,0,1,3,2,5,"Europe","Europe Tier 1","Right","Forward",2
"1398",1594,239817,"B. Soumaré","Boubakary Soumaré",10.5,20,20,69,56,67,74,67,71,553,1,1,0.200000003,3,0,0.300000012,0,1,3,4,8,"Europe","Europe Tier 1","Right","Defensive Midfield",2
"1399",1595,208054,"L. Fernández","Leandro Fernández",7,15,28,81,75,65,72,36,72,685,2,2,2.700000048,1,0,0.600000024,0,1,4,8,9,"South America","South America","Right","Attacking Midfield,Forward",2
"1401",1598,211263,"L. Magallán","Lisandro Magallán",7,20,25,56,38,52,59,75,79,73,0,0,0.5,0,0,2,0,1,3,7,10,"South America","Europe Tier 2","Right","Defense",2
"1402",1601,215119,"L. Romero","Lucas Romero",7,15,25,74,61,69,71,70,73,698,0,0,0.5,3,0,1.100000024,0,1,2,8,9,"South America","South America","Right","Defensive Midfield,Defense",2
"1403",1602,226086,"A. González","Ángel González",7,15,25,86,70,65,76,48,65,1679,5,0,1.600000024,2,0,0.300000012,1,1,3,6,8,"South America","South America","Right","Attacking Midfield,Forward",2
"1404",1603,210010,"J. van Overeem","Joris van Overeem",7,15,25,70,62,72,76,61,59,2670,2,3,0.400000006,3,1,0.899999976,0,1,3,2,7,"Europe","Europe Tier 2","Right","Midfield (Attacking/Defensive)",2
"1405",1605,227772,"G. Giménez","Gastón Giménez",6,15,27,62,62,75,76,66,81,2110,0,2,0.600000024,3,1,1.5,2,1,3,5,5,"South America","South America","Left","Defensive Midfield,Defense",2
"1407",1607,184477,"K. Papadopoulos","Kyriakos Papadopoulos",7,15,27,52,40,47,44,76,78,90,0,0,0,1,0,3,0,2,3,3,10,"Europe","Europe Tier 3","Right","Defense",2
"1409",1610,224949,"J. Dilrosun","Javairô Dilrosun",7,15,21,89,63,61,76,44,52,892,2,3,0.600000024,2,0,0.300000012,0,1,2,4,5,"Europe","Europe Tier 1","Left","Attacking Midfield",2
"1410",1612,210384,"R. Haps","Ridgeciano Haps",7,10,26,89,53,66,75,69,71,521,0,0,0.600000024,0,0,1,0,1,3,3,9,"Europe","Europe Tier 2","Left","Defense",2
"1412",1615,212230,"Iuri Medeiros","Iuri José  Picanço Medeiros",7,15,24,73,72,75,80,33,50,108,0,0,1,0,0,0.5,0,2,3,1,9,"Europe","Europe Tier 3","Left","Attacking Midfield,Forward",2
"1414",1617,227153,"C. Borja","Cristian Alexis Borja González",7,10,26,86,49,65,70,71,71,772,0,1,0.100000001,2,1,2.100000143,0,1,2,4,9,"South America","Europe Tier 2","Left","Defense",2
"1415",1619,215147,"L. Giannetti","Lautaro Giannetti",7,10,25,69,33,49,49,75,77,990,0,0,0.300000012,1,0,4,0,1,3,5,5,"South America","South America","Right","Defense",2
"1416",1620,222844,"Walace","Walace Souza Silva",7,10,24,67,67,68,68,69,74,1998,1,1,0.699999988,5,0,2.099999905,0,1,3,3,4,"South America","Europe Tier 1","Right","Defensive Midfield",2
"1417",1621,204102,"Y. Ayoub","Yassin Ayoub",7,10,25,69,67,75,77,67,70,214,2,3,0.400000006,1,0,0.100000001,0,1,3,3,9,"Africa","Europe Tier 2","Left","Midfield (Attacking/Defensive)",2
"1418",1622,207441,"L. Vietto","Luciano Vietto",7,10,25,76,73,68,76,43,61,987,1,4,1.200000048,1,0,0.300000012,0,1,3,4,9,"South America","Europe Tier 2","Right","Attacking Midfield,Forward",2
"1420",1626,198657,"J. Svensson","Jonas Svensson",7,10,26,77,60,72,73,70,81,2843,1,2,0.5,5,0,0.899999976,0,1,3,3,8,"Europe","Europe Tier 2","Right","Defensive Midfield,Defense",2
"1421",1627,214026,"J. Mojica","Johan Andrés Mojica Palacio",7,10,26,90,65,72,74,69,72,19,0,0,0,0,0,0,0,1,2,1,4,"South America","Europe Tier 3","Left","Defensive Midfield,Defense",2
"1422",1628,220673,"R. Tapia","Renato Tapia",7,10,23,70,56,67,74,72,79,138,0,0,1.5,0,0,0.300000012,0,1,4,3,9,"South America","Europe Tier 2","Right","Defensive Midfield,Defense",2
"1423",1629,213114,"D. Rolán","Diego Rolán",7,20,26,76,71,71,74,43,67,295,0,0,0.899999976,1,0,0.899999976,0,2,4,2,10,"South America","Europe Tier 3","Right","Attacking Midfield,Forward",2
"1425",1631,229537,"T. Cardona","Tomás Cardona",7,9,23,54,46,49,57,72,82,1834,1,0,0.5,5,1,4,0,1,3,6,6,"South America","South America","Left","Defense",2
"1426",1633,199669,"L. González Pirez","Leandro Martín González Pírez",7,8,27,72,48,62,66,73,78,2971,1,0,0.800000012,12,1,2.200000048,1,1,3,4,9,"South America","North America","Right","Defense",2
"1427",1634,217036,"Álex Moreno","Alexandre Moreno Lopera",7,20,26,81,63,68,76,68,55,3140,1,1,0.699999988,5,0,0.800000012,1,1,3,2,5,"Europe","Europe Tier 1","Left","Defensive Midfield,Defense",2
"1428",1635,222467,"Ivi","Iván López Álvarez",7,9,25,78,74,70,76,43,61,17,0,0,0.300000012,0,0,0,0,1,3,1,3,"Europe","Europe Tier 1","Right","Attacking Midfield",2
"1430",1645,193897,"J. Ananidze","Jano Ananidze",5,40,26,75,70,73,76,39,44,36,0,1,1,0,0,0,0,2,4,4,10,"Europe","Europe Tier 2","Right","Attacking Midfield",2
"1433",1651,209749,"Lucas Silva","Lucas Silva Borges",6.5,90,26,59,62,68,71,71,74,268,0,0,1.299999952,0,0,1.200000048,0,1,3,10,10,"South America","Europe Tier 1","Right","Defensive Midfield",2
"1435",1653,183855,"A. Ogbonna","Angelo Obinze Ogbonna",6.5,60,31,58,39,58,60,79,74,1871,1,1,0.600000024,2,0,3.200000048,0,2,3,4,5,"Europe","Europe Tier 1","Left","Defense",2
"1436",1654,189615,"A. Cresswell","Aaron Cresswell",6.5,60,29,71,59,73,75,74,67,1591,0,1,0.600000024,1,0,1.299999952,0,2,3,4,5,"Europe","Europe Tier 1","Left","Defensive Midfield,Defense",2
"1438",1656,178091,"S. Okaka","Stefano Okaka Chuka",6.5,20,29,64,72,59,70,30,82,22,0,0,1,1,0,0.5,0,2,3,3,4,"Europe","Europe Tier 1","Right","Forward",2
"1439",1659,180334,"Marcelo","Marcelo Antônio Guedes Filho",6.5,60,32,51,49,58,55,77,87,3600,0,1,1.200000048,6,0,7.599999905,0,2,2,6,9,"South America","Europe Tier 1","Right","Defense",2
"1440",1660,209620,"A. Baba","Abdul Rahman Baba",6.5,15,24,78,50,66,75,72,67,965,1,1,0.5,3,0,1.899999976,2,2,2,7,8,"Africa","Europe Tier 1","Left","Defensive Midfield,Defense",2
"1441",1661,184749,"D. Gosling","Dan Gosling",6.5,60,29,55,68,73,70,70,69,1738,2,1,0.800000012,8,0,1.399999976,0,1,3,1,3,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",2
"1443",1663,194079,"A. Potuk","Alper Potuk",6.5,60,28,79,65,71,78,52,70,311,0,1,0.899999976,3,0,1.100000024,0,1,4,7,9,"Europe","Europe Tier 2","Right","Attacking Midfield",2
"1445",1665,189860,"Kiko Femenía","Francisco Femenía Far",6.5,50,28,75,58,71,79,73,68,2046,1,1,0.200000003,1,0,0.400000006,0,1,3,3,4,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"1446",1666,190885,"A. Smith","Adam Smith",6.5,50,28,71,60,71,74,75,69,2073,1,1,0.300000012,5,1,1.100000024,0,1,3,1,3,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"1451",1672,186801,"C. Kouyaté","Cheikhou Kouyaté",6.5,50,29,69,65,61,69,76,85,1897,0,2,0.600000024,3,0,2.099999905,0,2,3,2,3,"Africa","Europe Tier 1","Right","Defensive Midfield,Defense",2
"1452",1674,231485,"A. Tuanzebe","Axel Tuanzebe",6.5,50,21,78,35,61,69,71,74,2396,0,1,0.300000012,0,0,3.200000048,0,1,3,7,8,"Europe","Europe Tier 1","Right","Defense",2
"1453",1675,195671,"C. Austin","Charlie Austin",6.5,40,29,52,77,57,68,37,69,981,2,2,1.299999952,1,0,1.700000048,0,1,2,1,9,"Europe","Europe Tier 3","Right","Forward",2
"1454",1676,182495,"M. Cáceres","Martín Cáceres",6.5,50,32,74,51,65,70,79,73,651,0,0,1.100000024,0,0,1.100000024,0,2,3,6,6,"South America","Europe Tier 1","Right","Defensive Midfield,Defense",2
"1455",1677,184037,"M. Kelly","Martin Kelly",6.5,40,29,50,44,60,61,75,71,1111,0,0,0.200000003,2,0,2.700000048,0,2,3,2,3,"Europe","Europe Tier 1","Right","Defense",2
"1456",1678,206160,"A. Ciciretti","Amato Ciciretti",6.5,40,25,77,68,73,75,35,49,136,0,0,0.200000003,0,0,0.200000003,0,1,4,7,9,"Europe","Europe Tier 1","Left","Attacking Midfield",2
"1457",1679,225410,"A. Masina","Adam Masina",6.5,40,25,68,42,67,68,73,73,1004,0,1,0.200000003,5,0,1.600000024,0,1,3,3,4,"Europe","Europe Tier 1","Left","Defensive Midfield,Defense",2
"1458",1680,200759,"J. Schlupp","Jeffrey Schlupp",6.5,40,26,86,67,66,73,69,75,1667,4,1,0.899999976,1,0,1.799999952,1,1,2,2,3,"Africa","Europe Tier 1","Left","Defensive Midfield,Defense",2
"1460",1682,194644,"Montoya","Martín Montoya Torralbo",6.5,40,28,77,61,71,72,73,69,2166,0,1,0.300000012,4,0,1,0,2,4,1,2,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"1462",1685,212419,"T. Mings","Tyrone Mings",6.5,40,26,69,44,63,65,73,78,1590,2,0,0.400000006,3,1,3,0,1,3,2,2,"Europe","Europe Tier 1","Left","Defense",2
"1463",1686,193881,"F. Ðuricic","Filip Ðuricic",6.5,40,27,73,65,72,77,42,57,1261,2,1,0.699999988,2,1,0.600000024,1,1,4,3,5,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",2
"1464",1687,182836,"A. Carroll","Andy Carroll",6.5,40,30,44,77,61,67,44,80,456,0,0,1.200000048,2,0,3.799999952,0,2,3,3,4,"Europe","Europe Tier 1","Left","Forward",2
"1465",1690,178322,"M. Layún","Miguel Arturo Layún Prado",5.5,40,31,76,72,75,75,75,69,670,0,1,2.5,2,0,0.100000001,0,3,5,9,8,"North America","North America","Right","Defensive Midfield,Defense",2
"1466",1691,210648,"A. Hegazi","Ahmed Hegazi",6.5,40,28,52,20,44,54,75,80,3484,1,2,0.699999988,3,1,4.099999905,1,1,2,1,9,"Africa","Europe Tier 3","Right","Defense",2
"1468",1695,183129,"C. Clark","Ciaran Clark",5.5,30,29,52,52,53,54,76,73,858,3,0,0.600000024,1,0,3.900000095,1,2,2,3,4,"Europe","Europe Tier 1","Left","Defense",2
"1471",1698,160741,"D. Abraham","David Ángel Abraham",6.5,30,32,75,56,61,52,78,77,2150,0,0,0.900000036,5,0,3.799999952,1,2,2,5,6,"South America","Europe Tier 1","Right","Defense",2
"1474",1702,200607,"C. Schindler","Christopher Schindler",6.5,30,29,63,32,57,55,77,75,3262,1,0,0.400000006,4,1,3.700000048,1,1,3,1,7,"Europe","Europe Tier 1","Right","Defense",2
"1475",1703,204355,"P. Dummett","Paul Dummett",8,30,27,66,40,63,67,76,72,1987,0,0,0.300000012,1,0,2.299999952,0,1,2,3,4,"Europe","Europe Tier 1","Left","Defense",2
"1476",1704,200469,"L. Rupp","Lukas Rupp",6.5,30,28,65,67,75,78,66,63,24,0,0,0,0,0,0,0,1,3,5,6,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",2
"1477",1705,211385,"R. Durmisi","Riza Durmisi",6.5,30,25,79,62,72,74,70,70,757,0,1,0.699999988,4,0,0.400000006,0,1,3,6,7,"Europe","Europe Tier 1","Left","Defensive Midfield,Defense",2
"1479",1707,189169,"Jonathas","Jonathas de Jesus Maurício",6.5,9,30,70,75,59,68,31,77,609,3,1,1.299999952,2,1,2.200000048,0,1,3,1,2,"South America","Europe Tier 3","Right","Forward",2
"1481",1709,207616,"A. Webster","Adam Webster",6.5,30,24,68,29,55,66,73,73,3747,3,0,0.699999988,5,0,6.400000095,4,1,4,1,2,"Europe","Europe Tier 1","Right","Defense",2
"1483",1711,210972,"Manquillo","Javier Manquillo Gaitán",6.5,30,25,73,44,63,72,71,66,1100,0,3,0.100000001,2,0,1.100000024,0,1,3,3,4,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"1485",1714,201893,"Recio","José Luis García del Pozo",6.5,30,28,40,67,73,72,72,71,1288,0,0,0.600000024,9,0,1.600000024,0,1,3,1,4,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",2
"1488",1719,200408,"B. Gibson","Ben Gibson",6.5,30,26,59,29,48,51,75,71,63,1,0,1,1,0,2,0,1,3,1,2,"Europe","Europe Tier 1","Left","Defense",2
"1489",1720,197926,"L. Crisetig","Lorenzo Crisetig",4.6,8,26,49,51,72,72,69,73,505,0,0,0,3,0,0.899999976,0,1,3,1,4,"Europe","Europe Tier 3","Left","Midfield (Attacking/Defensive)",2
"1490",1721,206306,"J. Ferri","Jordan Ferri",6.5,30,27,64,67,71,73,66,74,1877,2,1,0.600000024,5,0,1,1,2,2,2,6,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",2
"1491",1723,190156,"Rubén Pérez","Rubén Salvador Pérez del Mármol",6,30,30,40,56,69,65,73,74,2473,0,0,0.400000006,7,1,1.600000024,0,1,3,1,4,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",2
"1493",1726,212300,"J. O'Connell","Jack O'Connell",6.5,30,25,63,37,50,55,73,78,3676,3,3,0.600000024,4,0,4.900000095,2,1,2,1,1,"Europe","Europe Tier 1","Left","Defense",2
"1494",1727,207650,"E. Krafth","Emil Krafth",6.5,30,24,73,52,66,70,74,71,2973,1,1,0.300000012,2,0,1.299999952,0,1,3,3,4,"Europe","Europe Tier 1","Right","Defense",2
"1496",1729,184501,"M. Lang","Michael Lang",6.5,30,28,68,69,68,66,76,78,1262,1,0,0.600000024,0,0,1.200000048,0,1,4,5,6,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"1497",1730,190520,"T. Jantschke","Tony Jantschke",6.5,30,29,58,41,64,65,77,74,932,0,1,0.300000012,0,0,2.200000048,0,2,3,5,6,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"1499",1732,209547,"S. Mitrovic","Stefan Mitrovic",6.5,30,29,39,34,49,54,77,77,3028,0,0,0.400000006,8,2,2,0,1,5,1,4,"Europe","Europe Tier 1","Right","Defense",2
"1501",1736,172316,"Coke","Jorge Andújar Moreno",6.5,20,32,74,66,71,74,78,72,1815,4,0,0.400000006,2,1,0.899999976,1,2,4,1,3,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"1502",1739,220132,"Zaldúa","Joseba Zaldúa Bengoetxea",6.5,20,27,65,34,63,62,77,64,2142,1,2,0.200000003,7,0,1.799999952,0,1,3,3,5,"Europe","Europe Tier 1","Right","Defense",2
"1504",1743,220620,"F. Hadergjonaj","Florent Hadergjonaj",6.5,20,24,79,48,68,71,70,66,1841,0,0,0.300000012,1,0,1,0,1,3,1,7,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",2
"1505",1744,220905,"J. Aholou","Jean-Eudes Aholou",6.5,20,25,72,65,63,71,76,69,1252,0,1,1.5,2,0,1.999999881,0,1,3,6,8,"Africa","Europe Tier 1","Left","Defensive Midfield",2
"1506",1745,204523,"Rubén Pardo","Rubén Pardo Gutiérrez",6.5,20,26,61,68,74,72,62,55,1374,1,2,0.899999976,3,0,0.400000006,0,2,4,3,5,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",2
"1507",1746,215162,"A. Donatti","Alejandro Donatti",6.5,20,32,50,60,57,54,78,79,1332,0,0,1,2,0,2.200000048,0,1,4,8,9,"South America","South America","Right","Defense",2
"1509",1748,215071,"M. Casco","Milton Casco",6.5,20,31,86,68,71,77,71,78,1117,0,1,0.300000012,1,0,1.5,2,1,4,9,10,"South America","South America","Right","Defensive Midfield,Defense",2
"1511",1750,204757,"Toño García","Antonio García Aranda",6.5,20,29,84,64,74,76,71,68,1767,1,2,0.699999988,4,0,0.400000006,0,1,3,1,3,"Europe","Europe Tier 1","Left","Defensive Midfield,Defense",2
"1512",1751,200197,"N. Blandi","Nicolás Blandi",6.5,20,29,61,76,59,70,38,67,1015,7,1,2.299999952,1,0,2.299999952,1,1,4,8,9,"South America","South America","Right","Forward",2
"1513",1752,200529,"N. Chadli","Nacer Chadli",6.5,20,29,71,73,74,76,47,75,1007,0,0,0.5,1,0,3.400000095,0,2,4,6,8,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",2
"1515",1754,227873,"A. Touré","Almamy Touré",6.5,20,23,70,51,64,71,74,72,520,0,0,0.300000012,0,0,2.099999905,0,1,3,5,6,"Africa","Europe Tier 1","Right","Defense",2
"1517",1756,221168,"D. Kownacki","Dawid Kownacki",6.5,20,22,78,70,59,70,28,70,577,4,0,1.299999952,2,0,1.399999976,1,1,3,3,5,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",2
"1521",1761,209289,"Kévin Rodrigues","Kévin Manuel Rodrigues",6.5,20,25,71,48,69,63,72,61,483,0,0,0.300000012,1,0,0.899999976,0,1,3,3,5,"Europe","Europe Tier 1","Left","Defensive Midfield,Defense",2
"1522",1763,231111,"A. Hack","Alexander Hack",6.5,20,25,70,32,62,60,73,75,1019,1,1,0.899999976,1,0,3.099999905,1,1,3,3,4,"Europe","Europe Tier 1","Left","Defense",2
"1524",1768,177983,"C. Zapata","Cristian Eduardo Zapata Valencia",6.5,20,32,61,32,46,56,82,76,1476,1,0,1,5,0,5.800000191,1,2,2,2,4,"South America","Europe Tier 1","Right","Defense",2
"1525",1769,220337,"J. Alonso","Junior Alonso",6.5,20,26,69,54,61,64,71,81,630,0,0,0.300000012,1,0,4,0,1,3,4,8,"South America","Europe Tier 1","Left","Defense",2
"1526",1770,234399,"J. Eggestein","Johannes Eggestein",6.5,20,21,72,71,67,76,40,57,1118,4,1,1.5,0,0,0.699999988,1,1,4,4,5,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",2
"1527",1771,234396,"A. Davies","Alphonso Davies",6.5,20,18,91,65,61,76,55,70,74,1,0,0.300000012,1,0,0.200000003,0,1,4,9,10,"North America","Europe Tier 1","Left","Defensive Midfield,Defense",2
"1528",1774,193440,"N. Viergever","Nick Viergever",6.5,15,29,70,55,65,67,75,77,3524,3,1,0.5,4,0,3.400000095,0,1,2,5,10,"Europe","Europe Tier 2","Left","Defensive Midfield,Defense",2
"1529",1775,120533,"Pepe","Képler Laveran Lima Ferreira",6.5,15,36,67,51,57,60,85,85,1318,2,0,1.599999905,6,0,8.699999809,2,4,3,7,10,"Europe","Europe Tier 3","Right","Defense",2
"1530",1776,186589,"I. Radovanovic","Ivan Radovanovic",6.5,15,30,55,59,72,68,73,77,1282,0,0,1.399999976,3,0,2.900000095,0,2,3,2,4,"Europe","Europe Tier 1","Right","Defensive Midfield",2
"1531",1777,186961,"A. Paloschi","Alberto Paloschi",6.5,15,29,69,69,58,72,28,75,852,2,0,0.400000006,3,0,0.300000012,0,2,4,1,1,"Europe","Europe Tier 1","Right","Forward",2
"1532",1778,220245,"B. Zungu","Bongani Zungu",6.5,15,26,60,66,72,75,69,75,231,0,0,0.200000003,2,0,0,0,1,2,1,2,"Africa","Europe Tier 3","Right","Defensive Midfield",2
"1533",1780,242380,"Stephen Eustáquio","Stephen Antunes Eustáquio",5.5,15,22,61,60,72,71,68,70,1410,0,0,0.600000024,6,0,1.200000048,0,1,3,7,6,"Europe","North America","Right","Defensive Midfield",2
"1536",1786,202331,"F. Quignon","Facundo Tomás Quignón",6.5,15,26,68,59,73,77,69,75,1534,0,1,0.400000006,6,0,1.399999976,0,1,3,7,8,"South America","South America","Left","Defensive Midfield",2
"1537",1787,204886,"P. Gouano","Prince-Désir Gouano",6.5,15,25,64,25,50,51,74,76,2622,1,0,0.200000003,2,0,2.200000048,0,1,2,1,2,"Europe","Europe Tier 3","Right","Defense",2
"1539",1790,202944,"O. Hiljemark","Oscar Hiljemark",6.5,15,27,65,61,73,72,63,74,1202,1,0,0.800000012,0,0,0.699999988,0,1,3,2,4,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",2
"1542",1794,217546,"Sequeira","Nuno Miguel Ribeiro da Cruz Jerónimo Sequeira",6.5,15,28,70,59,68,70,74,75,2568,0,4,0.300000012,4,0,1.700000048,1,1,3,3,8,"Europe","Europe Tier 2","Left","Defensive Midfield,Defense",2
"1544",1797,204341,"Luís Neto","Luís Carlos Novo Neto",6.5,15,31,58,37,59,53,79,74,1618,0,0,0.800000012,8,0,5.5,1,1,3,4,9,"Europe","Europe Tier 2","Right","Defense",2
"1545",1798,179605,"A. Taarabt","Adel Taarabt",6.5,15,30,67,68,71,82,37,61,133,0,0,0.699999988,1,0,0.300000012,0,2,4,7,10,"Africa","Europe Tier 2","Right","Attacking Midfield,Forward",2
"1546",1799,205869,"Jairo","Jairo Samperio Bustara",6.5,15,25,84,66,68,78,30,55,130,0,0,0.5,0,0,1,0,2,4,3,10,"Europe","Europe Tier 3","Right","Midfield (Attacking/Defensive)",2
"1547",1800,215155,"F. Zuqui","Fernando Zuqui",6.5,15,27,70,64,72,75,65,70,829,0,1,1.399999976,2,0,0.699999988,0,1,3,6,8,"South America","South America","Right","Midfield (Attacking/Defensive)",2
"1548",1802,236506,"M. Senesi","Marcos Senesi",6.5,10,22,61,35,48,57,74,71,2041,0,1,0.400000006,5,0,1.700000048,0,1,3,3,9,"South America","Europe Tier 2","Left","Defense",2
"1549",1803,220493,"A. Barreca","Antonio Barreca",6.5,10,24,79,34,63,75,70,69,686,0,1,0.699999988,1,0,2.600000143,0,1,2,6,8,"Europe","Europe Tier 1","Left","Defensive Midfield,Defense",2
"1550",1804,202087,"J. Geis","Johannes Geis",6.5,10,25,40,65,79,64,72,73,1123,0,5,1.600000024,1,0,1.200000048,0,2,3,1,9,"Europe","Europe Tier 3","Right","Defensive Midfield,Defense",2
"1552",1808,224394,"Fábio Martins","Fábio Santos Martins",8,10,25,76,73,70,80,46,65,230,0,0,0.800000012,0,0,0.200000003,0,1,3,3,8,"Europe","Europe Tier 2","Right","Attacking Midfield",2
"1553",1809,179551,"O. Kamara","Ola  Williams Kamara",6.5,10,29,74,74,59,71,33,77,333,3,0,1.700000048,0,0,2.200000048,1,1,3,3,5,"Europe","North America","Right","Attacking Midfield,Forward",2
"1554",1810,190014,"Y. Salibur","Yannis Salibur",6.5,20,28,87,73,70,76,40,64,16,0,0,0,0,0,0,0,2,4,1,3,"Europe","Europe Tier 1","Left","Attacking Midfield,Forward",2
"1555",1812,213000,"S. van Beek","Sven van Beek",6.5,10,24,62,34,56,51,75,73,1868,0,0,0.5,2,1,3.200000048,0,1,2,3,9,"Europe","Europe Tier 2","Right","Defense",2
"1556",1813,216749,"Carlos Mané","Carlos Manuel Cardoso Mané",6.5,10,25,82,71,67,79,41,48,176,0,0,1.700000048,0,0,1.700000048,0,1,3,2,6,"Europe","Europe Tier 3","Right","Attacking Midfield,Forward",2
"1562",1821,228730,"S. Salcedo","Saúl Salcedo",6.5,10,21,67,35,43,52,74,75,2036,0,0,0.699999988,4,0,3.099999905,2,1,3,7,7,"South America","South America","Right","Defense",2
"1564",1823,210533,"João Schmidt","João Felipe Schmidt Urbano",6.5,9,26,54,67,74,71,68,73,1526,3,0,1,4,1,1.600000024,1,1,3,3,6,"South America","Europe Tier 1","Left","Defensive Midfield",2
"1565",1824,216447,"Álvaro García","Álvaro García Rivera",6.5,8,26,93,65,66,73,30,45,1759,4,2,0.800000012,3,0,0.100000001,0,1,3,1,2,"Europe","Europe Tier 1","Left","Attacking Midfield",2
"1566",1825,238856,"Pedro Sá","Pedro Miguel Cunha Sá",6.5,8,25,61,51,62,67,70,77,2692,0,1,0.400000006,8,0,2.599999905,0,1,2,1,3,"Europe","Europe Tier 2","Left","Defensive Midfield",2
