"","S.No.","sofifa_id","short_name","long_name","Market_Value","Wages","age","pace","shooting","passing","dribbling","defending","physic","Mins_Total","Goals_total","Assists_Total","Shots_per_game_total","Yellow_Cards_Total","Red_Cards_Total","Aerial_Battles_Won_Per_Game_Total","Man_of_The_Match_Total","Player_international_reputation","weak_foot","Club_Int_Prestige","Club_Domestic_Prestige","Player_Continent","Club_Continent","preferred_foot","Position_Final","Clusters"
"351",361,205070,"Portu","Cristian Portugués Manzanera",17.5,40,27,81,78,76,81,58,75,2833,9,2,1.100000024,3,0,0.800000012,2,1,4,3,5,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"352",362,230938,"F. Kessié","Franck Yannick Kessié",17.5,40,22,72,72,72,77,78,88,3221,7,2,2.799999952,8,0,1.500000119,2,2,4,7,7,"Africa","Europe Tier 1","Right","Defensive Midfield",1
"353",363,225663,"A. Golovin","Alexandr Golovin",17.5,40,23,81,71,75,82,65,67,2531,3,4,2.299999952,7,1,1,2,1,4,6,8,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"354",364,229167,"M. Rashica","Milot Rashica",17.5,30,23,90,78,71,83,44,63,1559,9,5,2.299999952,1,0,0.300000012,3,1,4,4,5,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"356",367,210315,"De Tomás","Raúl de Tomás Gómez",17.5,15,24,72,81,60,73,35,71,2821,14,1,3.5,5,0,1.299999952,3,1,3,7,10,"Europe","Europe Tier 2","Right","Forward",1
"357",368,224254,"C. Pavón","Cristian David Pavón",17.5,10,23,91,76,75,79,49,74,2306,8,8,5.299999952,1,0,1.900000036,3,1,3,6,9,"South America","North America","Right","Attacking Midfield,Forward",1
"358",369,183394,"M. Sissoko","Moussa Sissoko",17,100,29,80,70,78,79,79,89,3067,0,4,0.899999976,4,0,1,0,2,3,7,8,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"359",370,192883,"H. Mkhitaryan","Henrikh Mkhitaryan",17,50,30,78,76,78,83,55,66,2316,6,7,3,3,0,1.299999952,2,3,5,7,7,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"360",371,213666,"R. Loftus-Cheek","Ruben Loftus-Cheek",17,90,23,70,67,76,81,62,79,1702,10,5,2.800000191,1,0,1.399999976,3,1,3,7,8,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"361",372,213655,"A. Iwobi","Alex Iwobi",17,70,23,80,64,74,83,28,68,2532,5,8,2.200000048,0,0,0.200000003,0,1,3,5,6,"Africa","Europe Tier 1","Right","Attacking Midfield",1
"362",373,220697,"J. Maddison","James Maddison",17.5,70,22,75,72,82,79,39,57,2850,7,7,2.299999952,3,1,0.300000012,3,1,4,6,6,"Europe","Europe Tier 1","Right","Attacking Midfield",1
"363",374,231943,"Richarlison","Richarlison de Andrade",17,70,22,84,77,72,81,45,79,2679,13,1,2.400000095,5,1,2,3,1,5,5,6,"South America","Europe Tier 1","Right","Attacking Midfield,Forward",1
"364",375,210864,"E. Hysaj","Elseid Hysaj",17,60,25,79,51,68,75,78,74,2618,0,2,1.5,6,0,2.200000048,0,2,3,7,9,"Europe","Europe Tier 1","Right","Defense",1
"365",376,235353,"I. Sarr","Ismaïla Sarr",16.5,50,21,94,77,68,81,22,64,3529,12,8,3.799999952,7,0,1.100000024,4,1,2,3,4,"Africa","Europe Tier 1","Right","Attacking Midfield,Forward",1
"366",378,228941,"André Silva","André Miguel Valente da Silva",17,40,23,77,75,63,78,43,75,2478,9,0,4,4,0,4,2,2,3,7,7,"Europe","Europe Tier 1","Right","Forward",1
"367",379,203483,"D. Klaassen","Davy Klaassen",17,40,26,65,78,74,75,70,75,2823,5,4,1,5,0,0.899999976,2,2,3,4,5,"Europe","Europe Tier 1","Right","Attacking Midfield",1
"369",381,208330,"A. Januzaj","Adnan Januzaj",17,30,24,76,76,74,82,29,56,1254,1,3,1.600000024,1,0,0.200000003,1,1,4,3,5,"Europe","Europe Tier 1","Left","Attacking Midfield",1
"371",383,220253,"Munir","Munir El Haddadi",17,20,23,84,77,75,81,35,66,1456,8,2,6.199999928,2,0,3.200000145,1,2,3,7,7,"Europe","Europe Tier 1","Left","Attacking Midfield,Forward",1
"372",384,233419,"Raphinha","Raphael Dias Belloli",17,50,22,89,74,74,82,49,70,1725,5,2,3.099999905,7,0,1,3,1,3,3,6,"South America","Europe Tier 1","Left","Attacking Midfield",1
"373",385,210411,"Otávio","Otávio Edmilson da Silva Monteiro",17,15,24,75,69,77,84,45,62,2179,5,7,1.799999952,5,0,1.5,3,1,3,7,10,"South America","Europe Tier 3","Right","Attacking Midfield,Forward",1
"374",386,232862,"S. Nakajima","S. Nakajima",16,15,24,90,73,72,83,37,50,1168,5,5,2.599999905,2,0,0,3,1,4,7,10,"Asia","Europe Tier 3","Right","Attacking Midfield",1
"375",388,179944,"David Luiz","David Luiz Moreira Marinho",16.5,100,32,61,65,74,70,82,77,3809,3,2,1.899999976,4,0,5.099999905,0,4,3,7,7,"South America","Europe Tier 1","Right","Defensive Midfield,Defense",1
"378",391,167397,"Falcao","Radamel Falcao García Zárate",16.5,100,33,65,82,69,77,43,72,2905,15,2,5.199999809,12,0,3.399999857,3,3,4,7,10,"South America","Europe Tier 2","Right","Forward",1
"379",392,205569,"J. Ward-Prowse","James  Ward-Prowse",16.5,50,24,60,71,85,77,62,64,1942,7,0,1.200000048,4,0,0.800000012,0,2,3,4,4,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"382",396,206545,"Manu Trigueros","Manuel Trigueros Muñoz",16.5,40,27,60,73,78,77,70,66,2049,0,1,1.900000095,4,0,1.5,1,2,4,7,8,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"383",397,207471,"F. Vázquez","Franco Vázquez",16.5,20,30,56,78,80,81,58,72,2907,5,4,2.699999809,11,2,2.900000095,1,2,3,7,7,"South America","Europe Tier 1","Left","Attacking Midfield,Forward",1
"384",398,221639,"Mariano","Mariano Díaz Mejía",16,140,25,82,80,61,73,45,80,514,4,0,2.799999952,2,0,1.600000024,0,1,4,10,10,"North America","Europe Tier 1","Right","Forward",1
"385",399,204529,"M. Batshuayi","Michy Batshuayi Tunga",16,110,25,76,79,58,78,33,72,2070,0,0,0,0,0,0.400000006,3,2,5,7,8,"Europe","Europe Tier 1","Right","Forward",1
"386",400,199189,"R. Barkley","Ross Barkley",16,100,25,70,73,77,80,56,73,2048,5,6,3.399999857,3,0,1.599999905,2,2,5,7,8,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"387",401,205525,"Bernard","Bernard  Anício Caldeira Duarte",16,90,26,87,69,76,85,38,44,2129,1,3,0.699999988,5,0,0.100000001,0,2,4,5,6,"South America","Europe Tier 1","Right","Attacking Midfield",1
"388",402,205069,"Bernat","Juan Bernat Velasco",19.5,80,26,82,61,78,85,74,66,2514,4,2,1.300000072,8,1,2.099999905,0,2,3,9,10,"Europe","Europe Tier 1","Left","Defensive Midfield,Defense",1
"389",403,215353,"L. Alario","Lucas Alario",16,70,26,71,77,59,75,29,75,1670,13,3,4.599999905,1,0,2.899999857,2,2,3,6,7,"South America","Europe Tier 1","Right","Forward",1
"390",404,196889,"S. Verdi","Simone Verdi",16,50,26,86,73,80,83,48,53,813,4,3,3.900000095,0,0,0.100000001,1,2,5,7,9,"Europe","Europe Tier 1","Left","Attacking Midfield,Forward",1
"392",406,235212,"A. Hakimi","Achraf Hakimi Mouh",16,50,20,92,62,72,80,74,74,2110,2,7,1.600000024,4,0,1.400000095,0,1,2,10,10,"Africa","Europe Tier 1","Right","Defensive Midfield,Defense",1
"394",408,193352,"R. Rodríguez","Ricardo Rodríguez",13.5,40,26,70,67,79,76,78,74,3317,0,4,0.800000012,6,0,2.200000048,0,3,3,7,7,"Europe","Europe Tier 1","Left","Defensive Midfield,Defense",1
"395",409,201922,"M. Hinteregger","Martin Hinteregger",16,40,26,68,61,64,59,81,80,3380,4,0,2.800000072,3,0,9,2,2,3,5,6,"Europe","Europe Tier 1","Left","Defense",1
"396",410,210896,"M. Sanson","Morgan Sanson",16,40,24,75,73,78,77,70,75,2541,5,4,2.600000143,9,0,1.200000048,0,2,4,5,7,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"398",412,228336,"F. Grillitsch","Florian Grillitsch",16,30,23,64,59,77,77,68,66,2810,1,3,1.900000095,11,0,2.100000143,0,2,3,5,6,"Europe","Europe Tier 1","Right","Defensive Midfield",1
"399",414,201143,"A. Mandi","Aïssa Mandi",16,30,27,66,46,74,70,81,72,3601,1,1,0.5,11,0,2.899999857,2,1,3,2,5,"Africa","Europe Tier 1","Right","Defense",1
"400",415,235945,"Marc Roca","Marc Roca Junqué",16,30,22,61,62,77,73,73,68,3116,1,2,0.699999988,9,0,1.299999952,0,1,3,2,5,"Europe","Europe Tier 1","Left","Defensive Midfield",1
"401",416,204399,"E. Zahavi","Eran Zahavi",16,30,31,75,81,73,82,39,70,2398,29,4,5,2,1,0.800000012,6,1,4,4,5,"Asia","Asia Pacific","Right","Attacking Midfield,Forward",1
"402",417,213516,"Ricardo Horta","Ricardo Jorge da Luz Horta",16,20,24,76,76,76,81,42,55,2184,8,3,1.600000024,1,0,0.200000003,1,1,3,3,8,"Europe","Europe Tier 2","Right","Attacking Midfield,Forward",1
"403",418,235926,"M. Zaracho","Matías Zaracho",16,20,21,87,66,74,83,63,62,1685,3,3,1.5,3,1,0.699999988,2,1,3,8,9,"South America","South America","Right","Attacking Midfield",1
"404",419,213160,"R. Zobnin","Roman Zobnin",16,50,25,76,64,75,80,78,73,2622,1,1,2.699999809,6,0,2.400000095,1,1,3,4,10,"Europe","Europe Tier 2","Right","Defensive Midfield,Defense",1
"405",420,241184,"Junior Firpo","Héctor Junior Firpo Adamés",15.5,110,22,85,64,72,74,75,76,2234,3,5,1.600000024,8,0,1.799999952,1,1,3,10,10,"Europe","Europe Tier 1","Left","Defensive Midfield,Defense",1
"406",421,204838,"R. Jiménez","Raúl Alonso Jiménez Rodríguez",15.5,100,28,78,78,71,75,47,79,3125,13,7,2.900000095,4,0,2.099999905,4,3,4,2,5,"North America","Europe Tier 1","Right","Forward",1
"407",422,170368,"E. Lamela","Erik Lamela",15.5,90,27,75,77,79,82,51,72,1306,5,4,2.5,4,0,0.400000006,1,2,2,7,8,"South America","Europe Tier 1","Left","Attacking Midfield",1
"409",424,199110,"L. Muriel","Luis Fernando Muriel Fruto",15.5,70,28,88,76,68,84,27,68,1807,9,3,4.700000048,1,0,3.300000012,1,2,4,3,6,"South America","Europe Tier 1","Right","Attacking Midfield,Forward",1
"410",425,229984,"B. Chilwell","Ben Chilwell",15.5,70,22,78,49,71,77,76,75,3240,0,4,0.600000024,4,0,3.099999905,4,1,3,6,6,"Europe","Europe Tier 1","Left","Defensive Midfield,Defense",1
"411",426,214947,"J. Gbamin","Jean-Philippe Gbamin",15.5,70,23,80,57,73,74,78,83,2674,2,1,1.200000048,3,0,1.700000048,0,1,3,5,6,"Africa","Europe Tier 1","Right","Defensive Midfield,Defense",1
"413",428,202685,"S. Zaza","Simone Zaza",15.5,60,28,76,79,62,77,50,84,1424,4,3,1.899999976,8,1,1.899999976,0,2,3,4,6,"Europe","Europe Tier 1","Left","Forward",1
"414",429,222943,"Jony","Jonathan Rodríguez Menéndez",15.5,60,27,87,70,79,80,52,68,2985,5,10,1.5,3,0,0.100000001,1,1,3,6,7,"Europe","Europe Tier 1","Left","Midfield (Attacking/Defensive)",1
"416",431,206511,"M. Arnold","Maximilian Arnold",15.5,50,25,65,80,76,77,70,69,2879,2,6,1.600000024,7,0,0.800000012,2,2,2,4,6,"Europe","Europe Tier 1","Left","Midfield (Attacking/Defensive)",1
"418",434,224069,"K. Toko-Ekambi","Karl Brillant Toko Ekambi",15,40,26,79,78,67,78,27,68,2600,13,5,5.600000381,5,0,1.399999976,3,2,4,7,8,"Africa","Europe Tier 1","Right","Attacking Midfield,Forward",1
"419",435,234045,"H. Onyekuru","Henry Onyekuru",15.5,30,22,90,74,67,82,34,56,3018,14,3,5.200000286,7,0,2.399999857,3,2,4,6,8,"Africa","Europe Tier 1","Right","Attacking Midfield,Forward",1
"420",436,235889,"C. Ünder","Cengiz Ünder",15.5,30,21,82,75,74,82,37,50,1815,6,8,3.799999952,1,0,0.699999988,1,1,4,7,8,"Europe","Europe Tier 1","Left","Attacking Midfield",1
"421",437,200315,"Cristian Tello","Cristian Tello Herrera",15.5,30,27,89,75,76,81,48,61,2026,5,6,2.700000048,4,0,0.100000001,1,2,4,2,5,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"422",438,234612,"J. Ikoné","Nanitamo Jonathan Ikoné",18.5,30,21,89,70,72,82,33,60,2815,3,9,1.299999952,3,0,0.300000012,0,1,4,4,8,"Europe","Europe Tier 1","Left","Attacking Midfield,Forward",1
"423",439,234943,"F. Neuhaus","Florian Neuhaus",15.5,30,22,70,66,75,79,64,67,2072,3,8,1.600000024,5,0,0.200000003,0,1,3,5,6,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"424",441,200260,"S. Berghuis","Steven Berghuis",15.5,20,27,78,77,81,82,36,62,2878,12,12,3.5,5,0,0.200000003,5,2,2,3,9,"Europe","Europe Tier 2","Left","Attacking Midfield,Forward",1
"426",443,227536,"M. Marega","Moussa Marega",15.5,20,28,88,79,63,65,41,90,3335,17,9,6.100000381,6,0,3.600000143,5,2,3,7,10,"Africa","Europe Tier 3","Right","Attacking Midfield,Forward",1
"427",444,184144,"N. Gaitán","Osvaldo Nicolás Fabián Gaitán",15.5,15,31,78,72,80,82,41,58,2017,4,11,1.299999952,2,1,0.400000006,3,3,2,1,5,"South America","North America","Left","Midfield (Attacking/Defensive)",1
"428",445,203895,"Pozuelo","Alejandro Pozuelo Melero",15.5,10,27,66,73,78,83,50,60,2914,14,10,2.5,4,1,0.400000006,8,1,5,4,7,"Europe","North America","Right","Attacking Midfield,Forward",1
"429",447,192638,"Marcos Alonso","Marcos Alonso Mendoza",15,110,28,66,73,79,77,79,79,3097,4,5,3.299999952,6,0,3.399999857,2,2,3,7,8,"Europe","Europe Tier 1","Left","Defensive Midfield,Defense",1
"430",448,209297,"Fred","Frederico R. de Paula Santos",15,110,26,76,73,75,80,74,69,1505,1,2,2,3,0,0.699999988,1,1,4,7,8,"South America","Europe Tier 1","Left","Midfield (Attacking/Defensive)",1
"431",449,220651,"Angeliño","José Ángel Esmoris Tasende",15,90,22,85,64,79,81,72,78,3590,1,10,1.5,4,0,1.299999952,1,2,3,9,10,"Europe","Europe Tier 1","Left","Defensive Midfield,Defense",1
"432",450,193061,"R. Pereyra","Roberto Pereyra",15,80,28,75,73,79,83,61,67,2825,6,1,1.700000048,3,0,0.100000001,1,2,4,3,4,"South America","Europe Tier 1","Right","Attacking Midfield,Forward",1
"433",451,219985,"M. Vecino","Matias Vecino",15,60,27,67,68,77,80,76,74,2827,5,2,5.200000286,8,0,6.499999523,1,2,3,7,9,"South America","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"434",453,213991,"J. Lerma","Jefferson Andrés Lerma Solís",15,60,24,73,64,72,73,78,80,2511,2,0,1,12,0,2.5,0,1,4,1,3,"South America","Europe Tier 1","Right","Defensive Midfield,Defense",1
"436",455,203551,"A. Florenzi","Alessandro  Florenzi",15,50,28,82,77,76,80,77,73,2804,3,3,2.100000143,5,1,1.400000095,0,3,3,7,8,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",1
"439",458,194879,"Sergi Enrich","Sergio Enrich Ametller",15,30,29,60,78,70,75,43,78,2593,7,4,1.899999976,4,0,5,2,2,4,1,4,"Europe","Europe Tier 1","Right","Forward",1
"440",459,190972,"E. Salvio","Eduardo Antonio Salvio",15,30,28,86,75,73,84,58,68,970,3,3,4.899999619,1,0,0.200000003,1,2,4,9,10,"South America","South America","Right","Midfield (Attacking/Defensive)",1
"441",460,236461,"J. Mateta","Jean-Philippe Mateta",15,30,22,82,75,53,73,34,77,2495,14,2,2.900000095,2,0,3.200000048,3,1,4,3,4,"Europe","Europe Tier 1","Right","Forward",1
"442",461,169195,"Renato Augusto","Renato  Soares de Oliveira Augusto",15,30,31,67,73,79,79,71,72,2700,15,10,3.900000095,2,0,0.699999988,14,2,4,4,7,"South America","Asia Pacific","Right","Attacking Midfield,Forward",1
"444",463,229261,"D. Zakaria","Denis Lemi Zakaria Lako Lado",15,30,22,82,63,75,76,79,82,1959,4,0,1.200000048,7,0,0.5,0,1,3,5,6,"Europe","Europe Tier 1","Right","Defensive Midfield",1
"445",464,162240,"M. Dembélé","Moussa Sidi Yaya Dembélé",15,20,31,73,68,77,87,77,80,2821,1,4,2.100000024,6,0,2.100000024,0,3,2,4,5,"Europe","Asia Pacific","Left","Midfield (Attacking/Defensive)",1
"446",465,194022,"André Almeida","André Gomes Magalhaes de Almeida",15,20,28,68,63,76,75,82,82,3745,2,11,1.299999952,7,0,7.800000191,2,2,3,7,10,"Europe","Europe Tier 2","Right","Defensive Midfield,Defense",1
"447",466,205976,"Leo Baptistao","Leonardo Carrilho Baptistão",15,20,26,77,75,72,79,33,67,3247,9,3,4.399999857,6,0,2.599999964,0,2,3,1,1,"South America","Asia Pacific","Right","Attacking Midfield,Forward",1
"448",467,187491,"F. Smolov","Fyodor Smolov",12.5,60,29,86,81,70,76,32,73,1792,7,3,5.5,0,0,7.700000048,1,1,4,4,9,"Europe","Europe Tier 2","Right","Attacking Midfield,Forward",1
"449",468,191202,"N. Matic","Nemanja Matic",14.5,110,30,48,68,77,72,80,78,2981,1,0,0.400000006,8,1,4.200000286,0,3,3,7,8,"Europe","Europe Tier 1","Left","Defensive Midfield",1
"450",469,184881,"S. Feghouli","Sofiane Feghouli",14.5,80,29,86,72,74,83,34,64,2417,10,6,5.299999714,2,0,1.599999905,5,3,3,7,10,"Africa","Europe Tier 2","Right","Midfield (Attacking/Defensive)",1
"451",470,193738,"Y. Belhanda","Younès Belhanda",14.5,80,29,73,76,78,83,57,71,2363,4,6,3.100000143,9,1,2.799999952,4,2,4,7,10,"Africa","Europe Tier 2","Right","Midfield (Attacking/Defensive)",1
"453",472,185422,"J. King","Joshua King",14.5,80,27,88,79,69,79,38,75,2974,12,3,2.099999905,3,0,2.5,5,1,3,1,3,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"454",473,210455,"Jonny","Jonathan Castro Otto",14.5,70,25,77,52,70,76,78,70,2780,1,1,0.800000012,6,0,1.200000048,1,2,3,2,5,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",1
"455",474,237715,"P. Cutrone","Patrick Cutrone",14.5,60,21,73,74,56,74,29,69,1767,7,2,2.799999952,2,0,1.299999952,0,1,3,2,5,"Europe","Europe Tier 1","Right","Forward",1
"456",475,216643,"L. Dubois","Léo Dubois",14.5,50,24,74,61,75,75,77,73,2329,2,6,0.899999976,3,0,1.600000024,1,1,4,6,9,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",1
"457",476,210665,"M. Halstenberg","Marcel Halstenberg",14.5,50,27,69,66,72,72,80,80,2619,3,6,1.799999952,3,0,4.399999619,3,2,3,6,8,"Europe","Europe Tier 1","Left","Defensive Midfield,Defense",1
"459",478,225309,"N. Amiri","Nadiem Amiri",14.5,50,22,73,67,76,83,54,64,787,3,1,2.399999857,1,0,0.300000012,0,1,3,6,7,"Europe","Europe Tier 1","Right","Attacking Midfield",1
"460",479,189271,"F. Coquelin","Francis Coquelin",14.5,40,28,70,66,75,78,78,77,2484,0,1,1,8,0,3,1,2,3,6,8,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"461",480,236610,"M. Kean","Moise Kean",14.5,40,19,81,72,50,77,30,68,603,6,0,3.5,2,0,1.200000048,1,1,3,5,6,"Europe","Europe Tier 1","Right","Forward",1
"462",481,223334,"Joelinton","Joelinton Apolinário de Lira",14.5,40,22,78,75,60,76,43,81,2527,8,6,4,7,0,4.699999809,1,1,4,3,4,"South America","Europe Tier 1","Right","Attacking Midfield,Forward",1
"463",482,203605,"P. Kaderábek","Pavel Kaderábek",14.5,40,27,77,43,74,75,75,81,3049,4,4,1.799999952,7,0,3.299999952,1,2,2,5,6,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",1
"464",483,187072,"L. Stindl","Lars Stindl",14.5,40,30,66,80,78,79,59,72,1513,3,1,1.600000024,3,0,0.899999976,1,2,4,5,6,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"465",484,221445,"Wu Lei","Wu Lei",14.5,40,27,87,74,72,80,36,66,1064,3,1,1.899999976,1,0,0.800000012,1,1,4,2,5,"Asia","Europe Tier 1","Right","Attacking Midfield,Forward",1
"466",485,225085,"J. Bamba","Jonathan Bamba",14.5,30,23,89,75,69,82,36,62,3011,13,3,1.799999952,4,0,0.699999988,3,1,3,4,8,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"468",487,223578,"Mata","Jaime Mata Arnaiz",14.5,30,30,72,79,61,75,31,77,2437,14,6,1.700000048,10,0,2.900000095,3,1,3,2,5,"Europe","Europe Tier 1","Right","Forward",1
"469",488,199416,"Ibai Gómez","Ibai Gómez Pérez",14.5,30,29,76,79,80,81,59,67,2036,3,4,2.899999976,0,0,0.700000003,2,1,5,6,6,"Europe","Europe Tier 1","Right","Attacking Midfield",1
"471",490,222665,"M. Ødegaard","Martin Ødegaard",14.5,20,20,74,69,82,85,40,49,2975,9,12,2.400000095,2,0,0.600000024,10,3,2,10,10,"Europe","Europe Tier 1","Left","Attacking Midfield",1
"472",491,193408,"H. Seferovic","Haris Seferovic",14.5,20,27,71,77,67,71,47,86,2731,25,5,6.899999619,2,0,5.700000286,5,2,2,7,10,"Europe","Europe Tier 2","Left","Attacking Midfield,Forward",1
"474",493,213135,"D. Origi","Divock Origi",14,80,24,82,76,67,75,27,74,585,6,1,1.5,0,0,1.100000024,1,2,4,10,9,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"478",498,183900,"D. Perotti","Diego Perotti",14,50,30,75,70,77,86,42,57,813,5,0,1.700000048,3,0,0.800000012,1,3,4,7,8,"South America","Europe Tier 1","Right","Attacking Midfield,Forward",1
"480",500,205407,"D. Baselli","Daniele Baselli",14,50,27,71,73,79,81,66,68,2390,4,1,1.200000048,5,0,0.699999988,0,2,3,4,6,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"481",501,176600,"K. Gameiro","Kévin Gameiro",14,50,32,85,79,74,77,43,67,2116,9,3,3,2,0,0.800000012,0,3,4,6,8,"Europe","Europe Tier 1","Right","Forward",1
"482",502,243812,"Rodrygo","Rodrygo Silva de Goes",14,50,18,85,72,65,80,29,57,360,1,2,4,1,0,0.5,1,1,3,10,10,"South America","Europe Tier 1","Right","Attacking Midfield",1
"483",503,177388,"D. Payet","Dimitri  Payet",14,50,32,71,77,82,81,38,67,2279,6,7,3.099999905,5,0,0.200000003,1,3,4,5,7,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"485",505,189712,"K. Strootman","Kevin Strootman",14,50,29,57,72,80,73,77,80,2450,1,5,1.600000024,9,0,4.700000048,0,3,3,5,7,"Europe","Europe Tier 1","Left","Defensive Midfield",1
"486",506,220196,"D. Brooks","David Brooks",13.5,40,21,75,71,75,79,48,66,2278,7,5,1.399999976,3,0,0.200000003,1,1,4,1,3,"Europe","Europe Tier 1","Left","Attacking Midfield",1
"488",508,205686,"T. Savanier","Téji Savanier",14,40,27,71,69,81,79,66,68,2866,6,14,2.099999905,7,1,1.600000024,8,1,4,2,6,"Europe","Europe Tier 1","Right","Defensive Midfield",1
"489",509,208268,"B. Cristante","Bryan Cristante",14,40,24,58,72,75,75,74,76,2937,4,3,2.200000048,10,0,3.199999809,1,2,3,7,8,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"490",510,209519,"G. Laborde","Gaëtan  Laborde",14,40,25,72,76,67,75,34,79,3006,11,4,2.400000095,1,1,6.900000095,3,1,3,2,6,"Europe","Europe Tier 1","Left","Attacking Midfield,Forward",1
"491",511,231887,"Y. Yazici","Yusuf Yazici",14,30,22,75,74,78,81,47,74,2353,4,2,2.5,11,0,0.600000024,2,1,4,4,8,"Europe","Europe Tier 1","Left","Midfield (Attacking/Defensive)",1
"493",513,212626,"D. Selke","Davie Selke",14,30,24,76,76,53,72,43,76,1731,3,5,1.5,4,0,3.5,1,1,3,4,5,"Europe","Europe Tier 1","Right","Forward",1
"494",514,237239,"E. Bardhi","Enis Bardhi",13.5,20,23,72,81,78,80,63,56,2842,3,4,1.799999952,6,0,0.300000012,0,1,4,1,3,"Europe","Europe Tier 1","Right","Attacking Midfield",1
"496",516,212616,"R. De Paul","Rodrigo Javier De Paul",14,20,25,75,73,78,82,35,63,3194,9,8,2.400000095,7,0,0.100000001,6,1,3,3,4,"South America","Europe Tier 1","Right","Attacking Midfield,Forward",1
"498",518,41236,"Z. Ibrahimovic","Zlatan Ibrahimovic",11,15,37,56,88,77,77,34,78,2790,31,8,5.099999905,8,0,5.400000095,12,5,4,6,9,"Europe","North America","Right","Forward",1
"499",520,214092,"A. Miranchuk","Aleksey Miranchuk",14,40,23,74,66,78,79,31,62,3153,3,8,3.600000143,3,0,1.5,4,1,2,4,9,"Europe","Europe Tier 2","Left","Attacking Midfield,Forward",1
"500",521,205923,"B. Davies","Ben Davies",13.5,80,26,73,58,75,75,78,74,2406,0,1,1.100000024,2,0,3.100000143,1,2,3,7,8,"Europe","Europe Tier 1","Left","Defensive Midfield,Defense",1
"501",522,207993,"S. Kolašinac","Sead Kolašinac",13.5,80,26,75,62,72,73,75,87,2618,0,7,1.100000024,6,0,1.700000048,0,2,2,7,7,"Europe","Europe Tier 1","Left","Defensive Midfield,Defense",1
"503",524,207948,"B. Traoré","Bertrand Traoré",13.5,60,23,87,73,71,83,43,66,2446,8,3,2.700000048,6,0,1.200000048,3,2,1,6,9,"Africa","Europe Tier 1","Left","Attacking Midfield,Forward",1
"504",525,212811,"M. Lemina","Mario Lemina",13,60,25,72,68,76,78,72,72,1616,1,1,1.200000048,5,0,1.399999976,0,2,3,4,4,"Africa","Europe Tier 1","Right","Defensive Midfield",1
"505",526,162895,"Cesc Fàbregas","Francesc Fàbregas i Soler",13.5,50,32,53,73,87,77,60,56,1530,1,2,1.800000012,3,0,1,0,4,3,6,8,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"507",528,215716,"A. Mitrovic","Aleksandar Mitrovic",13.5,50,24,62,77,55,69,27,83,3282,11,3,3.5,7,0,6.5,4,1,4,1,9,"Europe","Europe Tier 1","Right","Forward",1
"508",529,194728,"I. Belfodil","Ishak Belfodil",13.5,40,27,71,77,69,78,36,81,2212,17,4,4.899999619,3,0,3.199999809,4,2,2,5,6,"Africa","Europe Tier 1","Right","Attacking Midfield,Forward",1
"509",530,210047,"F. Schär","Fabian Schär",13.5,40,27,62,66,71,69,80,75,2004,4,1,1,12,0,2.700000048,6,2,4,3,4,"Europe","Europe Tier 1","Right","Defense",1
"510",531,185221,"Luiz Gustavo","Luiz Gustavo Dias",13.5,70,31,58,60,69,69,80,82,2952,3,0,3.5,10,0,1.200000048,3,3,3,7,9,"South America","Europe Tier 2","Left","Defensive Midfield,Defense",1
"511",532,172522,"D. Wass","Daniel Wass",11.5,40,30,73,77,81,77,76,75,3171,2,4,2.899999857,4,0,4.400000095,0,2,3,6,8,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",1
"512",533,223597,"R. Aguilar","Ruben Aguilar",13.5,40,26,84,53,69,76,75,73,2531,1,4,0.400000006,8,0,1,2,1,3,6,8,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",1
